Country,2013,2014,2015,2016,2017,2018,2019
Saint Vincent and the Grenadines,..,..,..,..,..,..,..
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,36.68389,..,..,..,..
Serbia,50.28158,59.57864,59.54774,59.82979,60.10748,58.5582,..
Seychelles,..,..,..,76.47059,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,58.51311,55.73495,..,..,..,..,..
Slovenia,54.86228,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,49.48875,54.72888,43.1701,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,26.48009,..,..,..,..
Tajikistan,67.64706,63.38028,68.70229,61.33603,64.50382,61.3806,..
Thailand,..,..,..,..,..,..,..
Togo,..,7.5188,7.03125,6.77966,6.96203,10.73826,..
Trinidad and Tobago,65.90038,65.94982,65.94203,41.71123,59.89848,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,47.3177,47.71405,..,..,..,..,..
Uganda,..,30.72626,..,..,..,..,..
Ukraine,64.95238,65.71358,65.88235,63.83901,65.30992,65.22945,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,55.98706,56.89655,56.16438,54.87805,53.7037,53.48101,..
Uzbekistan,..,55.5676,56.70185,56.67786,56.02873,54.34565,..
Venezuela (Bolivarian Republic of),72.57143,72.25261,72.25738,72.28412,..,..,..
Viet Nam,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
