Country,2013,2014,2015,2016,2017,2018,2019
Saudi Arabia,..,..,..,..,..,..,..
Senegal,..,..,29.56989,..,..,..,..
Serbia,59.5515,50.17921,49.44302,50.55319,50.08818,51.48862,..
Seychelles,..,..,..,57.14286,..,..,..
Singapore,..,..,..,..,..,..,..
Slovakia,45.47264,50.3858,..,..,..,..,..
Slovenia,52.89855,..,..,..,..,..,..
South Africa,..,..,..,..,..,..,..
Spain,..,..,..,..,..,..,..
Sri Lanka,38.30986,49.53416,48.24191,..,..,..,..
Sudan,..,..,..,..,..,..,..
Sudan (pre-secession),..,..,..,..,..,..,..
Sweden,..,..,..,..,..,..,..
Switzerland,..,..,..,..,..,..,..
Syrian Arab Republic,..,..,34.75728,..,..,..,..
Tajikistan,23.51695,28.67384,27.22117,23.31288,31.41593,27.38854,..
Thailand,..,..,..,..,..,..,..
Togo,..,3.22581,3.44828,6.12245,6.55738,8.45771,..
Trinidad and Tobago,40.59406,48.4472,47.3029,59.92509,52.86624,..,..
Tunisia,..,..,..,..,..,..,..
Turkey,32.92004,33.52898,..,..,..,..,..
Uganda,..,27.40964,..,..,..,..,..
Ukraine,55.03876,55.16406,55.41126,54.87883,54.92987,53.00626,..
United Arab Emirates,..,..,..,..,..,..,..
United Kingdom of Great Britain and Northern Ireland,..,..,..,..,..,..,..
United Republic of Tanzania,..,..,..,..,..,..,..
United States of America,..,..,..,..,..,..,..
United States Virgin Islands,..,..,..,..,..,..,..
Uruguay,47.82609,46.11529,44.3299,45.71429,46.43799,48.12834,..
Uzbekistan,..,24.81168,24.71483,24.92348,27.17111,27.00178,..
Venezuela (Bolivarian Republic of),53.42707,53.35753,56.21351,58.96552,..,..,..
Viet Nam,..,..,..,..,..,..,..
Zambia,..,..,..,..,..,..,..
Zimbabwe,..,..,..,..,..,..,..
